DAGBANI	ENGLISH
Bɛ daa sabi Daniɛl Litaafi ŋɔ la saha shɛli chɛfiri na’ so ni daa muɣisiri Yɛhudianima.	The book of Daniel was written when a pagan king was oppressing the Jews.
amaŋmaŋ’ ni ti kpi chɛfirinim’ tiŋgban’ ni.	you yourself will die in a land of pagans.
ka daa chɛ o chɛfiritali soli ka doli Yɛhudianim’ daadiini soli la.	and had left his pagan way and followed the way of the Jews' religion.
Chɛfiritali biɛhigu zaɣibiɛtali yɛla.	The Evils of the Pagan Life.
zaɣa chɛɣu.	a tiny piece.
A kpee yi ku o noo ŋmaai ti a, a gba noo gɔrila nogbali chɛɣu.	If your colleague kills his fowl and gives some to you, then your fowl is walking on one leg.
Di chɛhiya.	It has torn.
Di chɛhirimi.	It is tearing.
bɛ daa gbahi zahim pam, hali ka bɛ lansi maa ti pili chɛhibu.	they caught a lot of fish, so much that their nets began to break.
Bi baŋ shibu mini bi baŋ gbaabu n-chɛ ka gbaŋ chɛhira.	Not knowing skinning and not knowing how to hold is what makes the skin tear.
Yɛndana yɛltɔɣa ŋmanila wahu chɛmi.	The speech of the wise is like horse-spurs.
Tiŋkpaŋ’ bandɔɣu bi simdi ka o baŋ chɛmsi.	It is not fitting for a village lizard to get to know about zinc roofing sheets.
Kaman tampiŋ sabinli ni kpɛm’ gari chɛribokuɣili shɛm.	Like how black rock is harder than a flint.
O daa chɛ ka kom yi chɛribo kuɣa ni na ka yi nyu.	He caused water to flow for you to drink from the flinty rock.
Zaŋmi chɛribo kuɣa mali pilima n-guni Izraɛlnima.	Use flint knives to circumcise the Israelites.
Di simsi ka a daa beei chɛriga gili zoli maa, ka di chɛ ka so baai yaɣ’ li.	You should mark a line round the mountain and don't let anyone cross over it.
Chɛriga din dam kurchu bim dini ka bɛ zaŋ dam naɣ’ bim.	The ladle that is used to stir pig’s broth is the same one that is used to stir cow’s broth.
Bɛ daa kpuɣi duɣuri mini soobuya ni buɣim kpihiri bina ni taha ni chɛriti.	They also took the pots, shovels, snuffers, tossing-bowls, saucers'.
mɔɣu ni biŋkɔbigu yi gbaai biŋkɔbigu maa, di simdi ka o zaŋ o chɛra na ti wuhi shɛhira.	if a wild animal catches the beast concerned, he must bring the remains as evidence.
Chɛrili nyɛla bɛn ka yaa, amaa bɛ nyari bindirigu diri siɣili saha.	Ants are creatures of little strength, yet they store up their food in the early-rains time.
ŋunkam lu kuɣili maa zuɣu ni chɛrisichɛrisi.	whoever falls on the stone will be broken to pieces.
sanʒiɛɣu maa ʒiɛbu kpiɔŋ daa galisi pam hal ka ŋarin titali maa ti be kaman di yɛn chɛrisimi la.	the storm blew so fiercely that the big ship was like it was about to break up.
o ni to n-kpuɣi a a yiŋ’ puuni yi nti chɛrisi a.	He will snatch you up from your house and tear you to pieces.
o mali o daanya nyinyɛri min’ o kuriti nyina n-dimdi chɛrisiri o ni gbahiri binshɛɣukam.	he used his bronze claws and iron teeth to bite and tear everything he caught.
o daa ba chɛrub yiɣi.	he rode upon a cherub and flew.
Naa ni Izraɛl Naawuni, ŋun ʒi Chɛrubinima zuɣusaa ŋɔ.	King and God of Israel, who sits above the cherubs.
salima chɛulɔnim din gbib’ Naawuni jɛmbu duu puuni Luɣ’ Kasi shee la pununima.	gold hinges which fit the doors of the Holy Place in God's Temple.
Kaman chɛulɔnim’ ni kul gbibi punu ka di viini gindi shɛm la, lala ka vinyaɣilan’ gba be o garo zuɣu.	As a door turns back and forth on its hinges, so the lazy person turns over in bed.
bɛ daa laɣisi bɔrobɔro chɛhi mini zimburisa din guui pali piɛri ayopɔin.	they collected seven baskets of bread fragments and crumbled fish that were left over.
Ko' chee kani.	Not the smallest quantity of water is there.
bɛ daa laɣisi bɔrobɔro chɛhi mini zimburisa din guui pali piɛri ayopɔin.	they collected seven baskets of bread fragments and crumbled fish that were left over.
Kpaŋ yi niŋ chee, kpaŋ baŋdi li.	If one guinea fowl does “chee” another guinea fowl understands it.
N daa sabi gbaŋ ti cheechi na.	I wrote a letter to the church.
Paul daa piligila chɛɛchi nimaani.	Paul started a church there.
Cheechinim’ din be Ɛsha tiŋgbɔŋ ni nima puhiri ya.	The people of the churches which are in Asia are greeting you.
bɛ ni daa sabi gban' shɛŋa ti chɛɛchinima ayopɔni.	the letters written to the seven churches.
Jɔn sabi n-ti Ɛfɛsus Cheechi.	John Writes to the Church of Ephesus.
kaman teela ni niŋdi shɛm la din ni chɛ ka di ku chee.	like a tailor does to stop it from fraying.
A yi da ayodin yɛlim na nyin cheemi di lɔba maa ka kpaa li n-niŋ luɣuluɣu bee kunkɔŋ ni.	When you buy iodised salt tear its plastic bag and pour it in a bottle or tin-can.
bɛ daa yɛli taba, “Di chɛliya ka ti cheei li.	they said to each other "Let's not tear it.
Babilɔn naa wum bɛ yɛla, ka o bɔɣiri ni chee kom.	The king of Babylon will become paralysed with fear when he hears news of their coming.
Ti Duuma darigi cheei Izraɛl nam kparibu a sani.	The Lord has torn the robe of the kingship of Israel away from you.
chinchini shɛli din daa yili Naawuni jɛmbu duu sunsuuni la daa cheei di zuɣusaa hal ti siɣi di tiŋli.	the cloth which hung in the middle of God's worship room tore from its top down to its bottom.
zaba piligu ŋmanila bɛ ni yi cheei kom bahi la.	Starting a quarrel is like breaching a dam.
Noo cheerila o bihi niŋdi o jɔɣu ni.	The hen pecks at its young ones to put them under its wings.
Bihim chihi garila taba barilim di bi gari taba piɛlim.	Milk gourds vary in size, but not in whiteness.
Sa baligu ni chibi tiŋa.	Little drops of rain will penetrate the ground.
nyin’ bomi peeŋkpaa n-zaŋ o tibili tabili dunoli naŋgbanyee n-chibi li voli.	you look for an awl and pierce a hole through his ear to the door.
bɛ daa dula duu maa zuɣusaa nti chib’ voli Yisa zuɣusaa diɛde.	they climbed on top of the room and made a hole exactly above Jesus.
Dɔro chibi bia maa.	The child is very ill.
Alaafee chibi o.	He is very healthy.
Di yi lee ka bɛ chibi bia gbankɔɣu chihiro-chihiro, bia maa niŋgbuna yɛn niŋla kpiɔŋ ka gu o ka chɛ gbankɔɣu doro.	When they inoculate a child against measles, the child's body will become strong and protect him from measles.
N yi zaŋ chibo paɣi mmaŋa, ka zaŋ bɔchaa paɣi n nuhi.	If I use soap to wash myself and cleanse my hands with lye.
Paɣimi a nuhi mini binshɛɣukam a ni mali niŋdi a nina ni viɛnyɛla ni chibo.	Use soap to wash your hands and everything that you touch your eyes with very well.
Tia ŋɔ (tua) mini di wala waɣiri zaa tooi niŋdi bochaa ka bɛ mali duɣiri chibo ka lam mali tibiri yɔɣu.	This tree (baobab) and its fruit-shells can both make lye which is used for soap-making and also to cure boils.
Paɣaba mali di dari mini guŋgun’ wɔɣisi n-nyɔri bochaa n-duɣiri chibo.	Women use its wood and kapok-pod shells and burn them into lye to make soap.
bɛ lɛbi bɛ nyaansi biri taba n-dɔya chichi hal ka biɛɣu ti neei.	the turn their backs and ignore each other until morning.
bɛ kuli fomi doya chichi.	they just lay there in silence.
Baa wahi toli, toli ŋuni chichi.	The dog barks at a mortar but the mortar stands there silently.
di daa niŋ kaman awa pirigili ka alizanda ni binshɛɣukam kul fomi chichi.	there was silence in heaven for like half an hour.
Luɣ' Chichi Shee.	A place of total silence.
Kɔchichi zɔri la tiŋli.	Still waters run deep.
O chiɣisi n-lu tiŋa.	He jumped and fell down.
O chihi ni o bi mi o.	He denied knowledge of him.
a ni ti chihi siɣimsiɣim buta ni a bi mi ma.	you will deny three times that do not you know me.
O chihi ni o bi yɛli shɛli.	She denied that se didn't say anything.
a ni ti chihi siɣimsiɣim buta ni a bi mi ma.	you will deny three times that you do not know me.
Peter chihi bɛ zaa nini maa ni yɛli, “Man’ bi baŋ a ni yɛli shɛm maa gbinni.	Peter denied in the sight of them all, saying "I don't know what you're talking about."
bɛ ku tooi lan chihi yi bɛ taali maa ni.	they no longer have any excuse for their sin.
O chihiri ma mi.	He hates me.
Jaŋa niŋ tuuba ku chihi kariwana.	Even though the monkey repents, it will never taboo corn.
Jaande, miriya ka yi tum din chihiri shɛli n ni je.	Oh, don't do what is taboo which I hate.
Noombihi shɛba yi ni yɛn chihiri dibu m-bɔŋɔ: taataa ni gbarizam ni laɣipiɛliga.	These are the birds you are forbidden to eat: the ostrich and the hawk and the egret.
O bi mi din chihira.	She does not know what is forbidden.
Di chihira ni so ŋubi li.	It is a taboo for someone to eat it.
Bɔ n niŋ ka bɛ niŋdi din chihira?	Why happened and they are doing what is taboo?
niriba maa tuumbiɛ’ shɛŋa din kul chihiri o suhu.	some of the people's sins which just offend his heart.
alahichi tumbu nyɛla zaligu chihibu.	committing sin is breaking the law.
Paul daa piligi tɔɣisiri ni o chihi omaŋ’ noli yɛra.	Paul began to speak in his own defence saying.
Mii maa chihiya.	The rope has broken.
O chihi gabiga.	He has torn a rope.
mi’ shɛŋa din daa lo o maa zaa di chihichihi.	the ropes which bound him suddenly snapped in pieces.
N ni dari chihi li yi nuhi ni.	I will pull and tear them in your hands.
di mihi chihiya, ka di tana chahi.	It's ropes have broken, and its cloths have torn.
o daa chɛ n-chihi wɔri shɛba bɛn kpalim zaa jila.	He struck and tore the tendons of all the horses that remained.
Jɔn Baptaizira yɛligu daa yi chihiri Naa Hɛrɔd suhu pam.	John the Baptiser's messages put fear in King Herod's heart.
Niriba maa ni daa wum lala maa ka bɛ suhuri chihi pam.	When the people heard this they were very disturbed.
Yi dima nahu bee o buŋa yi chihi chani ka yi nya o, yin’ taɣim’ o labisi ti ti o.	Should you come upon your enemy's ox or donkey broken loose, you must take it back to him.
Nahu yi chihi o kpaa ni o ku ŋubi mɔ’ chɔɣima.	If a cow breaks loose from the peg that it is tied to, it will not eat poor quality grass.
Luɣ’shɛŋa bɛ ni chihiri chiha n-nyɛ: tapaɣisi, ninni, gbɛɣu zuɣu nti pahi kɔb’tuɣa shee.	The places where they cut tribal-marks are: on the cheeks, face, forehead and also on the joints.
Chiha pam m-be Dagbaŋ ka bɛ chihiri li ka di nyɛla naɣchiinsi. So min chihi chiha ka di niŋ o kpee viɛlim ka o gba chihi lala chiha maa.
Chiha chihibu nyɛla dim bi kɔŋ barina.	Cutting tribal marks is something which has not lacked danger.
Amaa baŋmi ka dama dimbu saha maa yi yaɣi hawa ni pirigili saha, nyin mira ka a lahi chihi li bee m mɔɣisi li.	But know that if the time of the bite is more than an hour and a half you must no longer cut it or suck it.
Bɔm' subili'viɛlli bee bileedi n chihi o ni dim luɣi shɛli maa buyi zuɣu.	Get a clean small knife or a razorblade and make two cuts at the place where it bit.
Niriba chibirila lala tim ŋɔ biɛla n-niŋ ninsala niŋgbuŋ ni.	People inject a little of this medicine into a person's body.
BƆ SAHA N SIMDI NI BƐ CHIBI BIA CHIHIRO-CHIHIRO?	When is it appropriate to vaccinate a child?
nti nyo buɣim sara maligu bimbini zuɣu n-yihi di chihili maa.	to burn the portion of grain-offering to remove its taboo-restriction.
So bindirigu n-nyɛ so chihili.	Someone's food is someone's poison.
Chiha pam m-be Dagbaŋ ka bɛ chihiri li ka di nyɛla naɣchiinsi. So min chihi chiha ka di niŋ o kpee viɛlim ka o gba chihi lala chiha maa.	There are many marks in Dagbong that they cut just for decoration. Someone might cut marks and someone else thinks they look nice and copies them.
Chiha chihibu nyɛla din yuui Dagbaŋ. Ti banima mini ti yaanima paai li mi.	The cutting of tribal marks is something that has existed long in Dagbong. It was already there when our fathers and grandfathers were born.
Chiha chihibu nyɛla dim bi kɔŋ barina.	The making of tribal-marks is not without its dangers.
Ninvuɣu so ŋun yɛli lala nyɛla ninvuɣu yɔhinda ni Masiachihira.	Someone who says that is a deceiver and Antichrist.
Di yi lee ka bɛ chibi bia gbankɔɣu chihiro-chihiro, bia maa niŋgbuna yɛn niŋla kpiɔŋ ka gu o ka chɛ gbankɔɣu doro.	When they inoculate a child against measles, the child's body will become strong and protect him from measles.
Niriba ayi yi mira mia di nyɛla mia chihuŋ.	If two people make a rope, it’s a broken rope.
A mini nir’ (gutulu) yi mira mia, mia chihuŋ nyɛ li.	If you make a rope with a (untrustworthy) person, it’s a broken rope.
bɛ zaŋ chilibi yaɣiri bɛ ni be luɣ’ shɛŋa.	the scattered sulphur on the place where they lived.
Kurimbuni ha bɛ daa yi zaŋdila chilibi maani du’ shɛŋa ni bɛ ni zaŋ kpiimba sɔŋ n-yihiri li daɣiri ni.	In the old days they used to use sulphur to purify the room where they laid a corpse.
buɣim mini nyɔhi ni chilibi yi bɛ noya ni na.	fire and smoke and brimstone came out of their mouths.
Jɛrigu m-mali chilimua din mali gbura m-baani o chilo.	It is the foolish who uses an eyebrow stick that is not straight and smooth to put on eye powder.
Anabi chilitɔŋ, ban ka laamba m-banda.	The prophet’s eye powder, it is those who don’t have parents who apply it.
Bɔzuɣu ka a zaŋ salima nɛma niŋ amaŋa, ka bali chilo?	Why have you put gold jewellery on yourself and applied mascara?
Zaŋmi kawaan’ chimda kpalaŋ’ ŋɔ.	Take this bag of roast corn.
ti kuli bi wumdi o yuri napɔn’ chinchiba damli.	we just aren't hearing the sound of the beating of his horses' feet.
o daa dɔɣi o paɣisara dɔɣim bidibiga n-zaŋ chinchini pili o sɔŋ wɔrimɔri piɛɣu ni.	she gave birth to her firstborn son and covered him with a cloth and laid him in the horse-grass basket.
o daa pirigi o pako’ chinchina sɔŋ.	she took off her widow's clothes and set them aside.
Di nyɛla din ka buchi kaman kpatinari' zana chinchini la.	It is something unprofitable like a cloth of spiders' web.
Suɣulo yi beni chinchini kpɛri gaɣili ni.	If there is patience a cloth enters inside a bottle.
A mi yi mi li ka di paai ŋ-ŋɔ, a ni tooi zaŋ li ti ti kpalua ka o wuɣi chinchini.	So when you know that it has reached this amount, take it to the weaver to weave the cloth.
Suturi' shɛŋa bɛ ni mali wɔri li n-nyɛ: kurigu, ŋmaansuliga, nyolɔra, laɣipiɛliga, nti pahi Dagban' chinchini.	The clothes they wear to dance it are: shirt, colobus-fur hat, bra, cauris and also country cloth.
chinchini shɛli din daa yili Naawuni jɛmbu duu sunsuuni la.	the cloth that hang in the middle of God's worship room.
dama Naawuni pala ŋun tumdi chirachira, amaa o nyɛla Naawuni ŋun tumdi din doli soli.	For God is not a God of disorder but of peace.
Lubu din mali dabiɛm pam mini chirachira be Ʒii Nyabu Vinvamli ni.	This is a time of panic, defeat, and confusion in the Valley of Vision.
Zuɣusuŋlana mia lɔɣu chirila baɣiŋga gbinni.	The quiver of a lucky person breaks under the fibre tree.
yin’ bɔhimiya n-nya ninvuɣu chirichi n-kpe o yina.	ask and find a worthy person and come into his house.
Yili maa yi nyɛla yili chirichi.	If the house is a worthy house.
bɛ zaŋ chiriga n-chirigi li pa tampiŋ zuɣu.	they take a graver and carve it on a rock.
Ciri' biɛ ni saɣim kuriti.	The bad chisel will destroy many types of iron.
a ti zaŋ chiriga chirigi Izraɛl bidibisi la yinoyino yuli pa kuɣili kam zuɣu.	use a graver to engrave the names of the sons of Israel, one on each stone.
timpani yi bi kum tɔb’ chiriga kumsi ŋuni n-lee ni mali shili chaŋ tɔb’ tuhibu?	if the drum doesn't give the battle alarm, who will prepare to go to war?
Ŋmɛmiya tɔb’ chiriga Bɛtavɛn tiŋ’ puuni.	raise the battle cry in town of Beth-Aven.
Sa daŋmi yibu biɛɣ’ asiba n-chaŋ ti chirigi Firawuna.	Go out early tomorrow morning and go to meet Pharaoh.
Di daa niŋla daliri ka n chaŋ Gilibɔa Zoli zuɣu nti chirigi Saul.	I happened to go over Mount Gilboa and came across Saul.
Bi niŋ zamba ku chirigi biɛri.	The one who doesn’t cause the downfall of another will not come across wickedness by chance.
Di zuɣu n-chɛ ka n yɛli ni a chirigimi ma.	That's why I said that you should meet me.
Ŋuna m-booi booli pa teeku kom zuɣu luɣ’ shɛli neesim mini zibisim ni chirigi taba.	He is the one who marked it on the surface of the sea water at the place where light and darkness met each other.
Tɔɣisi zali n-nyɛ chɛmi ka n-chirgi a.	To make an appointment is “Go and I will meet you.”
Dahinshɛli o daa chirigi n-kana.	One day he came by chance.
Mariama daa kpalim Ɛlizabɛt sani kaman chira ata laasabu.	Mary remained with Elizabeth for about three months.
sanzali ni daa zani yuma ata ni chira ayɔbu ka kum lu luɣili kam.	when there was a drought for three years and six months and there was famine everywhere.
